WKT,id
"LINESTRING (-180 85,-180 -85)","1"
"LINESTRING (-165 85,-165 -85)","1"
"LINESTRING (-150 85,-150 -85)","1"
"LINESTRING (-135 85,-135 -85)","1"
"LINESTRING (-120 85,-120 -85)","1"
"LINESTRING (-105 85,-105 -85)","1"
"LINESTRING (-90 85,-90 -85)","1"
"LINESTRING (-75 85,-75 -85)","1"
"LINESTRING (-60 85,-60 -85)","1"
"LINESTRING (-45 85,-45 -85)","1"
"LINESTRING (-30 85,-30 -85)","1"
"LINESTRING (-15 85,-15 -85)","1"
"LINESTRING (180 85,180 -85)","1"
"LINESTRING (165 85,165 -85)","1"
"LINESTRING (150 85,150 -85)","1"
"LINESTRING (135 85,135 -85)","1"
"LINESTRING (120 85,120 -85)","1"
"LINESTRING (105 85,105 -85)","1"
"LINESTRING (90 85,90 -85)","1"
"LINESTRING (75 85,75 -85)","1"
"LINESTRING (60 85,60 -85)","1"
"LINESTRING (45 85,45 -85)","1"
"LINESTRING (30 85,30 -85)","1"
"LINESTRING (15 85,15 -85)","1"
"LINESTRING (0 85,0 -85)","1"
"LINESTRING (-180 90,180 90)","1"
"LINESTRING (-180 75,180 75)","1"
"LINESTRING (-180 60,180 60)","1"
"LINESTRING (-180 45,180 45)","1"
"LINESTRING (-180 30,180 30)","1"
"LINESTRING (-180 15,180 15)","1"
"LINESTRING (-180 0,180 0)","1"
"LINESTRING (-180 -90,180 -90)","1"
"LINESTRING (-180 -75,180 -75)","1"
"LINESTRING (-180 -60,180 -60)","1"
"LINESTRING (-180 -45,180 -45)","1"
"LINESTRING (-180 -30,180 -30)","1"
"LINESTRING (-180 -15,180 -15)","1"
